FlightID,Airline,Origin,Destination,RouteDistance,ScheduledDeparture,ActualDeparture,ScheduledArrival,ActualArrival,DelayMinutes,Cancelled,FuelUsedGallons,FlightDurationMinutes,Passengers,Date,TotalDelayMinutes,DelayCategory,DelayCostIndex,DelayCost,RouteEfficiencyScore,OnTimePerformancePct,FuelCostPerRoute,FuelPriceVolatility,AirportCode_x,AvgTrafficVolume,PeakTrafficLoad,CongestionSeverityIndex,AirportCode_y,AvgSentimentScore,SentimentScore,SentimentCategory,CustomerSatisfactionIntensity
FL0052,BlueJet,ORD,ATL,606,2026-05-23 11:00:00,2026-05-23 10:50:00,2026-05-23 12:11:00,2026-05-23 12:27:00,0.0,False,2965.0,97.0,151,2026-05-23,0.0,On-Time,0.0,0.0,100.0,100.0,8375.927333333335,0.2002337441362738,ORD,540.0,540,26.651735722284435,,,0.0,Neutral,0.0
FL0053,EliteWings,ORD,ATL,606,2026-05-23 14:00:00,2026-05-23 13:56:00,2026-05-23 15:11:00,2026-05-23 15:15:00,0.0,False,3262.5,79.0,183,2026-05-23,0.0,On-Time,0.0,0.0,100.0,100.0,9216.345000000001,0.20464824047903626,ORD,540.0,540,26.651735722284435,,,0.0,Neutral,0.0
FL0111,BlueJet,JFK,LAX,2475,2026-05-24 08:00:00,2026-05-24 08:09:00,2026-05-24 12:51:00,2026-05-24 12:55:00,9.0,False,12121.7,286.0,208,2026-05-24,9.0,Minor,9.0,900.0,99.62369337979094,100.0,34242.99438666668,0.23308901430480336,JFK,980.0,980,75.92385218365062,JFK,-0.6249,-0.6249,Negative,62.5
FL0112,CloudFlight,JFK,LAX,2475,2026-05-24 11:00:00,2026-05-24 11:04:00,2026-05-24 15:51:00,2026-05-24 16:20:00,4.0,False,11893.8,316.0,141,2026-05-24,4.0,Minor,4.0,400.0,99.84858044164038,100.0,33599.19208000001,0.2629913367952309,JFK,980.0,980,75.92385218365062,JFK,-0.6249,-0.6249,Negative,62.5
FL0113,DeltaSky,JFK,LAX,2475,2026-05-24 14:00:00,2026-05-24 13:50:00,2026-05-24 18:51:00,2026-05-24 19:07:00,0.0,False,12363.4,317.0,138,2026-05-24,0.0,On-Time,0.0,0.0,100.0,100.0,34925.78077333334,0.232834730804107,JFK,980.0,980,75.92385218365062,JFK,-0.6249,-0.6249,Negative,62.5
FL0121,BlueJet,JFK,ORD,740,2026-05-24 08:00:00,2026-05-24 08:15:00,2026-05-24 09:27:00,2026-05-24 09:38:00,15.0,False,3973.7,83.0,180,2026-05-24,15.0,Minor,15.0,1500.0,97.85714285714286,100.0,11225.437586666669,0.20672879764750535,JFK,980.0,980,75.92385218365062,JFK,-0.6249,-0.6249,Negative,62.5
FL0122,CloudFlight,JFK,ORD,740,2026-05-24 11:00:00,2026-05-24 10:50:00,2026-05-24 12:27:00,2026-05-24 12:18:00,0.0,False,3912.9,88.0,209,2026-05-24,0.0,On-Time,0.0,0.0,100.0,100.0,11053.681640000003,0.18362387402512104,JFK,980.0,980,75.92385218365062,JFK,-0.6249,-0.6249,Negative,62.5
FL0123,CloudFlight,JFK,ORD,740,2026-05-24 14:00:00,2026-05-24 14:04:00,2026-05-24 15:27:00,2026-05-24 15:16:00,4.0,False,3955.0,72.0,132,2026-05-24,4.0,Minor,4.0,400.0,99.34246575342466,100.0,11172.611333333336,0.18348461721451592,JFK,980.0,980,75.92385218365062,JFK,-0.6249,-0.6249,Negative,62.5
FL0131,DeltaSky,ATL,DFW,732,2026-05-24 08:00:00,2026-05-24 08:10:00,2026-05-24 09:26:00,2026-05-24 09:52:00,10.0,False,3560.9,102.0,202,2026-05-24,10.0,Minor,10.0,1000.0,98.83495145631068,100.0,10059.305106666669,0.19414715666155846,ATL,737.0,737,48.71220604703248,,,0.0,Neutral,0.0
FL0132,CloudFlight,ATL,DFW,732,2026-05-24 11:00:00,2026-05-24 11:25:00,2026-05-24 12:26:00,2026-05-24 13:09:00,25.0,False,3991.7,104.0,176,2026-05-24,25.0,Moderate,25.0,2500.0,97.14285714285714,0.0,11276.286386666668,0.16719142796324032,ATL,737.0,737,48.71220604703248,,,0.0,Neutral,0.0
FL0133,EliteWings,ATL,DFW,732,2026-05-24 14:00:00,2026-05-24 14:00:00,2026-05-24 15:26:00,2026-05-24 15:16:00,0.0,False,4016.3,76.0,169,2026-05-24,0.0,On-Time,0.0,0.0,100.0,100.0,11345.779746666669,0.13140481676612983,ATL,737.0,737,48.71220604703248,,,0.0,Neutral,0.0
FL0141,AvaAir,LAX,ORD,1744,2026-05-24 08:00:00,2026-05-24 07:50:00,2026-05-24 11:25:00,2026-05-24 11:40:00,0.0,False,8925.9,230.0,118,2026-05-24,0.0,On-Time,0.0,0.0,100.0,100.0,25215.072440000004,0.11712213159511993,LAX,1195.0,1195,100.0,,,0.0,Neutral,0.0
FL0142,CloudFlight,LAX,ORD,1744,2026-05-24 11:00:00,2026-05-24 11:13:00,2026-05-24 14:25:00,2026-05-24 14:23:00,13.0,False,8847.1,190.0,121,2026-05-24,13.0,Minor,13.0,1300.0,99.18324607329843,100.0,24992.46769333334,0.1260213898974564,LAX,1195.0,1195,100.0,,,0.0,Neutral,0.0
FL0143,AvaAir,LAX,ORD,1744,2026-05-24 14:00:00,2026-05-24 14:26:00,2026-05-24 17:25:00,2026-05-24 17:37:00,26.0,False,8501.1,191.0,116,2026-05-24,26.0,Moderate,26.0,2600.0,98.375,0.0,24015.040760000007,0.14193441427592637,LAX,1195.0,1195,100.0,,,0.0,Neutral,0.0
FL0151,AvaAir,ORD,ATL,606,2026-05-24 08:00:00,2026-05-24 07:50:00,2026-05-24 09:11:00,2026-05-24 08:54:00,0.0,False,3078.1,64.0,127,2026-05-24,0.0,On-Time,0.0,0.0,100.0,100.0,8695.427293333336,0.1759499988404102,ORD,1182.0,1182,98.54423292273236,ORD,-0.10170000000000001,-0.10170000000000001,Negative,10.2
FL0152,DeltaSky,ORD,ATL,606,2026-05-24 11:00:00,2026-05-24 11:13:00,2026-05-24 12:11:00,2026-05-24 12:41:00,13.0,False,2949.6,88.0,183,2026-05-24,13.0,Minor,13.0,1300.0,98.24719101123596,100.0,8332.423360000003,0.17825421628349947,ORD,1182.0,1182,98.54423292273236,ORD,-0.10170000000000001,-0.10170000000000001,Negative,10.2
FL0153,AvaAir,ORD,ATL,606,2026-05-24 14:00:00,2026-05-24 14:13:00,2026-05-24 15:11:00,2026-05-24 15:43:00,13.0,False,3230.5,90.0,172,2026-05-24,13.0,Minor,13.0,1300.0,98.28571428571429,100.0,9125.947133333335,0.16250308436584543,ORD,1182.0,1182,98.54423292273236,ORD,-0.10170000000000001,-0.10170000000000001,Negative,10.2
FL0212,DeltaSky,JFK,LAX,2475,2026-05-25 11:00:00,2026-05-25 11:24:00,2026-05-25 15:51:00,2026-05-25 16:32:00,24.0,False,12463.0,308.0,146,2026-05-25,24.0,Moderate,24.0,2400.0,99.06796116504854,0.0,35207.14413333334,0.16250308436584543,JFK,385.0,385,9.29451287793953,,,0.0,Neutral,0.0
FL0213,BlueJet,JFK,LAX,2475,2026-05-25 14:00:00,2026-05-25 14:15:00,2026-05-25 18:51:00,2026-05-25 18:53:00,15.0,False,13097.7,278.0,165,2026-05-25,15.0,Minor,15.0,1500.0,99.35483870967742,100.0,37000.12932000001,0.16250308436584543,JFK,385.0,385,9.29451287793953,,,0.0,Neutral,0.0
FL0221,BlueJet,JFK,ORD,740,2026-05-25 08:00:00,2026-05-25 07:50:00,2026-05-25 09:27:00,2026-05-25 09:28:00,0.0,False,4071.4,98.0,96,2026-05-25,0.0,On-Time,0.0,0.0,100.0,100.0,11501.433573333336,0.16250308436584543,JFK,385.0,385,9.29451287793953,,,0.0,Neutral,0.0
FL0222,CloudFlight,JFK,ORD,740,2026-05-25 11:00:00,2026-05-25 11:20:00,2026-05-25 12:27:00,2026-05-25 12:57:00,20.0,False,3703.7,97.0,92,2026-05-25,20.0,Moderate,20.0,2000.0,97.55102040816327,0.0,10462.705586666669,0.16250308436584543,JFK,385.0,385,9.29451287793953,,,0.0,Neutral,0.0
FL0223,AvaAir,JFK,ORD,740,2026-05-25 14:00:00,2026-05-25 14:44:00,2026-05-25 15:27:00,2026-05-25 16:02:00,44.0,False,3923.7,78.0,99,2026-05-25,44.0,Moderate,44.0,4400.0,93.31645569620252,0.0,11084.190920000003,0.16250308436584543,JFK,385.0,385,9.29451287793953,,,0.0,Neutral,0.0
FL0231,CloudFlight,ATL,DFW,732,2026-05-25 08:00:00,2026-05-25 08:35:00,2026-05-25 09:26:00,2026-05-25 09:57:00,35.0,False,3711.5,82.0,171,2026-05-25,35.0,Moderate,35.0,3500.0,94.93975903614458,0.0,10484.740066666669,0.16250308436584543,ATL,479.0,479,19.820828667413217,ATL,-0.0655,-0.0655,Negative,6.6
FL0232,CloudFlight,ATL,DFW,732,2026-05-25 11:00:00,2026-05-25 11:29:00,2026-05-25 12:26:00,2026-05-25 13:11:00,29.0,False,3786.3,102.0,142,2026-05-25,29.0,Moderate,29.0,2900.0,96.62135922330097,0.0,10696.045080000004,0.16250308436584543,ATL,479.0,479,19.820828667413217,ATL,-0.0655,-0.0655,Negative,6.6
FL0241,DeltaSky,LAX,ORD,1744,2026-05-25 08:00:00,2026-05-25 08:22:00,2026-05-25 11:25:00,2026-05-25 12:15:00,22.0,False,9240.3,233.0,85,2026-05-25,22.0,Moderate,22.0,2200.0,98.87179487179488,0.0,26103.231480000002,0.16250308436584543,LAX,752.0,752,50.391937290033596,LAX,0.4215,0.4215,Positive,42.2
FL0242,DeltaSky,LAX,ORD,1744,2026-05-25 11:00:00,2026-05-25 11:12:00,2026-05-25 14:25:00,2026-05-25 15:01:00,12.0,False,8556.4,229.0,193,2026-05-25,12.0,Minor,12.0,1200.0,99.37391304347827,100.0,24171.259573333336,0.16250308436584543,LAX,752.0,752,50.391937290033596,LAX,0.4215,0.4215,Positive,42.2
FL0243,CloudFlight,LAX,ORD,1744,2026-05-25 14:00:00,2026-05-25 14:00:00,2026-05-25 17:25:00,2026-05-25 17:39:00,0.0,False,9480.6,219.0,142,2026-05-25,0.0,On-Time,0.0,0.0,100.0,100.0,26782.062960000007,0.16250308436584543,LAX,752.0,752,50.391937290033596,LAX,0.4215,0.4215,Positive,42.2
FL0251,EliteWings,ORD,ATL,606,2026-05-25 08:00:00,2026-05-25 08:40:00,2026-05-25 09:11:00,2026-05-25 10:01:00,40.0,False,2948.0,81.0,206,2026-05-25,40.0,Moderate,40.0,4000.0,94.14634146341463,0.0,8327.903466666668,0.16250308436584543,ORD,553.0,553,28.107502799552073,,,0.0,Neutral,0.0
FL0252,BlueJet,ORD,ATL,606,2026-05-25 11:00:00,2026-05-25 11:04:00,2026-05-25 12:11:00,2026-05-25 12:00:00,4.0,False,3352.5,56.0,113,2026-05-25,4.0,Minor,4.0,400.0,99.15789473684211,100.0,9470.589000000002,0.16250308436584543,ORD,553.0,553,28.107502799552073,,,0.0,Neutral,0.0
FL0253,EliteWings,ORD,ATL,606,2026-05-25 14:00:00,2026-05-25 14:06:00,2026-05-25 15:11:00,2026-05-25 15:46:00,6.0,False,3218.2,100.0,148,2026-05-25,6.0,Minor,6.0,600.0,99.2871287128713,100.0,9091.200453333335,0.16250308436584543,ORD,553.0,553,28.107502799552073,,,0.0,Neutral,0.0
FL0311,AvaAir,JFK,LAX,2475,2026-05-26 08:00:00,2026-05-26 08:08:00,2026-05-26 12:51:00,2026-05-26 13:16:00,8.0,False,13486.2,308.0,180,2026-05-26,8.0,Minor,8.0,800.0,99.68932038834951,100.0,38097.61592000001,0.16250308436584543,JFK,626.0,626,36.28219484882419,JFK,0.1531,0.1531,Positive,15.3
FL0312,DeltaSky,JFK,LAX,2475,2026-05-26 11:00:00,2026-05-26 11:32:00,2026-05-26 15:51:00,2026-05-26 16:50:00,32.0,False,12422.4,318.0,91,2026-05-26,32.0,Moderate,32.0,3200.0,98.7962382445141,0.0,35092.45184000001,0.16250308436584543,JFK,626.0,626,36.28219484882419,JFK,0.1531,0.1531,Positive,15.3
FL0313,EliteWings,JFK,LAX,2475,2026-05-26 14:00:00,2026-05-26 14:20:00,2026-05-26 18:51:00,2026-05-26 18:57:00,20.0,False,12067.0,277.0,114,2026-05-26,20.0,Moderate,20.0,2000.0,99.13669064748201,0.0,34088.47053333334,0.16250308436584543,JFK,626.0,626,36.28219484882419,JFK,0.1531,0.1531,Positive,15.3
FL0321,BlueJet,JFK,ORD,740,2026-05-26 08:00:00,2026-05-26 08:34:00,2026-05-26 09:27:00,2026-05-26 09:55:00,34.0,False,3753.6,81.0,194,2026-05-26,34.0,Moderate,34.0,3400.0,95.02439024390245,0.0,10603.669760000002,0.16250308436584543,JFK,626.0,626,36.28219484882419,JFK,0.1531,0.1531,Positive,15.3
FL0322,BlueJet,JFK,ORD,740,2026-05-26 11:00:00,2026-05-26 10:50:00,2026-05-26 12:27:00,2026-05-26 12:05:00,0.0,False,3964.5,75.0,154,2026-05-26,0.0,On-Time,0.0,0.0,100.0,100.0,11199.448200000003,0.16250308436584543,JFK,626.0,626,36.28219484882419,JFK,0.1531,0.1531,Positive,15.3
FL0323,BlueJet,JFK,ORD,740,2026-05-26 14:00:00,2026-05-26 14:18:00,2026-05-26 15:27:00,2026-05-26 16:05:00,18.0,False,3802.7,107.0,178,2026-05-26,18.0,Moderate,18.0,1800.0,98.0,0.0,10742.37398666667,0.16250308436584543,JFK,626.0,626,36.28219484882419,JFK,0.1531,0.1531,Positive,15.3
FL0331,AvaAir,ATL,DFW,732,2026-05-26 08:00:00,2026-05-26 08:22:00,2026-05-26 09:26:00,2026-05-26 09:50:00,22.0,False,3968.3,88.0,116,2026-05-26,22.0,Moderate,22.0,2200.0,97.03370786516854,0.0,11210.18294666667,0.16250308436584543,ATL,1194.0,1194,99.88801791713327,,,0.0,Neutral,0.0
FL0332,AvaAir,ATL,DFW,732,2026-05-26 11:00:00,2026-05-26 11:25:00,2026-05-26 12:26:00,2026-05-26 13:10:00,25.0,False,3734.8,105.0,192,2026-05-26,25.0,Moderate,25.0,2500.0,97.16981132075472,0.0,10550.561013333336,0.16250308436584543,ATL,1194.0,1194,99.88801791713327,,,0.0,Neutral,0.0
FL0333,EliteWings,ATL,DFW,732,2026-05-26 14:00:00,2026-05-26 13:52:00,2026-05-26 15:26:00,2026-05-26 15:27:00,0.0,False,4038.0,95.0,179,2026-05-26,0.0,On-Time,0.0,0.0,100.0,100.0,11407.080800000003,0.16250308436584543,ATL,1194.0,1194,99.88801791713327,,,0.0,Neutral,0.0
FL0341,BlueJet,LAX,ORD,1744,2026-05-26 08:00:00,2026-05-26 08:07:00,2026-05-26 11:25:00,2026-05-26 11:35:00,7.0,False,9252.7,208.0,196,2026-05-26,7.0,Minor,7.0,700.0,99.59808612440192,100.0,26138.260653333342,0.16250308436584543,LAX,1175.0,1175,97.76035834266519,LAX,-0.6249,-0.6249,Negative,62.5
FL0342,AvaAir,LAX,ORD,1744,2026-05-26 11:00:00,2026-05-26 11:00:00,2026-05-26 14:25:00,2026-05-26 14:21:00,0.0,False,9143.7,201.0,132,2026-05-26,0.0,On-Time,0.0,0.0,100.0,100.0,25830.342920000006,0.16250308436584543,LAX,1175.0,1175,97.76035834266519,LAX,-0.6249,-0.6249,Negative,62.5
FL0343,BlueJet,LAX,ORD,1744,2026-05-26 14:00:00,2026-05-26 14:23:00,2026-05-26 17:25:00,2026-05-26 18:14:00,23.0,False,8451.5,231.0,201,2026-05-26,23.0,Moderate,23.0,2300.0,98.8103448275862,0.0,23874.924066666674,0.16250308436584543,LAX,1175.0,1175,97.76035834266519,LAX,-0.6249,-0.6249,Negative,62.5
FL0351,EliteWings,ORD,ATL,606,2026-05-26 08:00:00,2026-05-26 08:23:00,2026-05-26 09:11:00,2026-05-26 09:41:00,23.0,False,3078.9,78.0,155,2026-05-26,23.0,Moderate,23.0,2300.0,96.50632911392405,0.0,8697.687240000003,0.16250308436584543,ORD,472.0,472,19.036954087346025,,,0.0,Neutral,0.0
FL0352,EliteWings,ORD,ATL,606,2026-05-26 11:00:00,2026-05-26 11:28:00,2026-05-26 12:11:00,2026-05-26 13:01:00,28.0,False,3016.7,93.0,106,2026-05-26,28.0,Moderate,28.0,2800.0,96.42553191489361,0.0,8521.976386666667,0.16250308436584543,ORD,472.0,472,19.036954087346025,,,0.0,Neutral,0.0
FL0353,EliteWings,ORD,ATL,606,2026-05-26 14:00:00,2026-05-26 14:20:00,2026-05-26 15:11:00,2026-05-26 15:20:00,20.0,False,2949.9,60.0,162,2026-05-26,20.0,Moderate,20.0,2000.0,96.06557377049181,0.0,8333.270840000003,0.16250308436584543,ORD,472.0,472,19.036954087346025,,,0.0,Neutral,0.0
FL0411,CloudFlight,JFK,LAX,2475,2026-05-27 08:00:00,2026-05-27 08:16:00,2026-05-27 12:51:00,2026-05-27 13:26:00,16.0,False,13799.2,310.0,126,2026-05-27,16.0,Moderate,16.0,1600.0,99.38263665594856,0.0,38981.820053333344,0.16250308436584543,JFK,405.0,405,11.534154535274357,,,0.0,Neutral,0.0
FL0412,AvaAir,JFK,LAX,2475,2026-05-27 11:00:00,2026-05-27 11:12:00,2026-05-27 15:51:00,2026-05-27 16:01:00,12.0,False,13122.6,289.0,197,2026-05-27,12.0,Minor,12.0,1200.0,99.50344827586207,100.0,37070.47016000001,0.16250308436584543,JFK,405.0,405,11.534154535274357,,,0.0,Neutral,0.0
FL0413,DeltaSky,JFK,LAX,2475,2026-05-27 14:00:00,2026-05-27 14:37:00,2026-05-27 18:51:00,2026-05-27 19:22:00,37.0,False,12091.4,285.0,196,2026-05-27,37.0,Moderate,37.0,3700.0,98.44755244755245,0.0,34157.398906666676,0.16250308436584543,JFK,405.0,405,11.534154535274357,,,0.0,Neutral,0.0
FL0421,DeltaSky,JFK,ORD,740,2026-05-27 08:00:00,2026-05-27 08:00:00,2026-05-27 09:27:00,2026-05-27 09:39:00,0.0,False,3826.5,99.0,139,2026-05-27,0.0,On-Time,0.0,0.0,100.0,100.0,10809.607400000003,0.16250308436584543,JFK,405.0,405,11.534154535274357,,,0.0,Neutral,0.0
FL0422,AvaAir,JFK,ORD,740,2026-05-27 11:00:00,2026-05-27 10:59:00,2026-05-27 12:27:00,2026-05-27 12:37:00,0.0,False,3717.6,98.0,125,2026-05-27,0.0,On-Time,0.0,0.0,100.0,100.0,10501.972160000003,0.16250308436584543,JFK,405.0,405,11.534154535274357,,,0.0,Neutral,0.0
FL0423,BlueJet,JFK,ORD,740,2026-05-27 14:00:00,2026-05-27 14:14:00,2026-05-27 15:27:00,2026-05-27 15:31:00,14.0,False,3798.7,77.0,126,2026-05-27,14.0,Minor,14.0,1400.0,97.84615384615384,100.0,10731.074253333336,0.16250308436584543,JFK,405.0,405,11.534154535274357,,,0.0,Neutral,0.0
FL0431,AvaAir,ATL,DFW,732,2026-05-27 08:00:00,2026-05-27 08:14:00,2026-05-27 09:26:00,2026-05-27 09:57:00,14.0,False,3794.9,103.0,90,2026-05-27,14.0,Minor,14.0,1400.0,98.38461538461539,100.0,10720.339506666669,0.16250308436584543,ATL,1147.0,1147,94.62486002239642,,,0.0,Neutral,0.0
FL0432,CloudFlight,ATL,DFW,732,2026-05-27 11:00:00,2026-05-27 11:30:00,2026-05-27 12:26:00,2026-05-27 13:05:00,30.0,False,4006.7,95.0,177,2026-05-27,30.0,Moderate,30.0,3000.0,96.25,0.0,11318.660386666668,0.16250308436584543,ATL,1147.0,1147,94.62486002239642,,,0.0,Neutral,0.0
FL0433,EliteWings,ATL,DFW,732,2026-05-27 14:00:00,2026-05-27 14:18:00,2026-05-27 15:26:00,2026-05-27 15:31:00,18.0,False,3856.3,73.0,132,2026-05-27,18.0,Moderate,18.0,1800.0,97.08108108108108,0.0,10893.790413333336,0.16250308436584543,ATL,1147.0,1147,94.62486002239642,,,0.0,Neutral,0.0
FL0441,CloudFlight,LAX,ORD,1744,2026-05-27 08:00:00,2026-05-27 08:46:00,2026-05-27 11:25:00,2026-05-27 12:05:00,46.0,False,8716.3,199.0,157,2026-05-27,46.0,Severe,46.0,4600.0,97.24,0.0,24622.966413333335,0.16250308436584543,LAX,1084.0,1084,87.56998880179172,LAX,0.3235,0.3235,Positive,32.4
FL0442,AvaAir,LAX,ORD,1744,2026-05-27 11:00:00,2026-05-27 11:00:00,2026-05-27 14:25:00,2026-05-27 14:13:00,0.0,False,9308.4,193.0,111,2026-05-27,0.0,On-Time,0.0,0.0,100.0,100.0,26295.609440000004,0.16250308436584543,LAX,1084.0,1084,87.56998880179172,LAX,0.3235,0.3235,Positive,32.4
FL0451,EliteWings,ORD,ATL,606,2026-05-27 08:00:00,2026-05-27 08:02:00,2026-05-27 09:11:00,2026-05-27 09:41:00,2.0,False,2951.7,99.0,136,2026-05-27,2.0,Minor,2.0,200.0,99.76,100.0,8338.355720000001,0.16250308436584543,ORD,425.0,425,13.773796192609183,ORD,0.1531,0.1531,Positive,15.3
FL0452,EliteWings,ORD,ATL,606,2026-05-27 11:00:00,2026-05-27 11:28:00,2026-05-27 12:11:00,2026-05-27 12:46:00,28.0,False,3209.5,78.0,145,2026-05-27,28.0,Moderate,28.0,2800.0,95.74683544303798,0.0,9066.623533333335,0.16250308436584543,ORD,425.0,425,13.773796192609183,ORD,0.1531,0.1531,Positive,15.3
FL0453,CloudFlight,ORD,ATL,606,2026-05-27 14:00:00,2026-05-27 14:15:00,2026-05-27 15:11:00,2026-05-27 15:28:00,15.0,False,2952.9,73.0,131,2026-05-27,15.0,Minor,15.0,1500.0,97.56756756756756,100.0,8341.745640000003,0.16250308436584543,ORD,425.0,425,13.773796192609183,ORD,0.1531,0.1531,Positive,15.3
FL0512,BlueJet,JFK,LAX,2475,2026-05-28 11:00:00,2026-05-28 11:12:00,2026-05-28 15:51:00,2026-05-28 15:59:00,12.0,False,13650.6,287.0,157,2026-05-28,12.0,Minor,12.0,1200.0,99.5,100.0,38562.03496000001,0.16250308436584543,JFK,599.0,599,33.25867861142218,JFK,0.2873,0.2873,Positive,28.7
FL0513,AvaAir,JFK,LAX,2475,2026-05-28 14:00:00,2026-05-28 14:03:00,2026-05-28 18:51:00,2026-05-28 19:05:00,3.0,False,12062.7,302.0,126,2026-05-28,3.0,Minor,3.0,300.0,99.88118811881188,100.0,34076.32332000001,0.16250308436584543,JFK,599.0,599,33.25867861142218,JFK,0.2873,0.2873,Positive,28.7
FL0521,BlueJet,JFK,ORD,740,2026-05-28 08:00:00,2026-05-28 08:00:00,2026-05-28 09:27:00,2026-05-28 09:28:00,0.0,False,4066.0,88.0,87,2026-05-28,0.0,On-Time,0.0,0.0,100.0,100.0,11486.178933333336,0.16250308436584543,JFK,599.0,599,33.25867861142218,JFK,0.2873,0.2873,Positive,28.7
FL0522,BlueJet,JFK,ORD,740,2026-05-28 11:00:00,2026-05-28 11:15:00,2026-05-28 12:27:00,2026-05-28 12:41:00,15.0,False,4001.9,86.0,157,2026-05-28,15.0,Minor,15.0,1500.0,97.93103448275862,100.0,11305.10070666667,0.16250308436584543,JFK,599.0,599,33.25867861142218,JFK,0.2873,0.2873,Positive,28.7
FL0531,BlueJet,ATL,DFW,732,2026-05-28 08:00:00,2026-05-28 08:07:00,2026-05-28 09:26:00,2026-05-28 10:02:00,7.0,False,3775.6,115.0,194,2026-05-28,7.0,Minor,7.0,700.0,99.27586206896552,100.0,10665.818293333336,0.16250308436584543,ATL,309.0,309,0.7838745800671894,,,0.0,Neutral,0.0
